Comunidades;Provincias;Periodo;Total
Cataluña;Lleida;2015;10,914
Cataluña;Tarragona;2023;14,559
Cataluña;Tarragona;2022;13,673
Cataluña;Tarragona;2021;13,086
Cataluña;Tarragona;2020;12,491
Cataluña;Tarragona;2019;12,432
Cataluña;Tarragona;2018;12,011
Cataluña;Tarragona;2017;11,506
Cataluña;Tarragona;2016;11,119
Cataluña;Tarragona;2015;10,817
Comunitat Valenciana;Alicante/Alacant;2023;12,313
Comunitat Valenciana;Alicante/Alacant;2022;11,378
Comunitat Valenciana;Alicante/Alacant;2021;10,770
Comunitat Valenciana;Alicante/Alacant;2020;10,236
Comunitat Valenciana;Alicante/Alacant;2019;10,177
Comunitat Valenciana;Alicante/Alacant;2018;9,736
Comunitat Valenciana;Alicante/Alacant;2017;9,313
Comunitat Valenciana;Alicante/Alacant;2016;8,814
Comunitat Valenciana;Alicante/Alacant;2015;8,695
Comunitat Valenciana;Castellón/Castelló;2023;14,029
Comunitat Valenciana;Castellón/Castelló;2022;13,305
Comunitat Valenciana;Castellón/Castelló;2021;12,680
Comunitat Valenciana;Castellón/Castelló;2020;12,079
Comunitat Valenciana;Castellón/Castelló;2019;11,987
Comunitat Valenciana;Castellón/Castelló;2018;11,461
Comunitat Valenciana;Castellón/Castelló;2017;10,958
Comunitat Valenciana;Castellón/Castelló;2016;10,504
Comunitat Valenciana;Castellón/Castelló;2015;10,136
Comunitat Valenciana;Valencia/València;2023;14,435
Comunitat Valenciana;Valencia/València;2022;13,548
Comunitat Valenciana;Valencia/València;2021;12,823
Comunitat Valenciana;Valencia/València;2020;12,333
Comunitat Valenciana;Valencia/València;2019;12,145
Comunitat Valenciana;Valencia/València;2018;11,634
Comunitat Valenciana;Valencia/València;2017;11,041
Comunitat Valenciana;Valencia/València;2016;10,641
Comunitat Valenciana;Valencia/València;2015;10,377
Extremadura;Badajoz;2023;12,068
Extremadura;Badajoz;2022;11,158
Extremadura;Badajoz;2021;10,549
Extremadura;Badajoz;2020;10,001
Extremadura;Badajoz;2019;9,895
Extremadura;Badajoz;2018;9,417
Extremadura;Badajoz;2017;8,971
Extremadura;Badajoz;2016;8,643
Extremadura;Badajoz;2015;8,448
Extremadura;Cáceres;2023;12,771
Extremadura;Cáceres;2022;11,786
Extremadura;Cáceres;2021;11,238
Extremadura;Cáceres;2020;10,660
Extremadura;Cáceres;2019;10,537
Extremadura;Cáceres;2018;10,009
Extremadura;Cáceres;2017;9,544
Extremadura;Cáceres;2016;9,247
Extremadura;Cáceres;2015;9,081
Galicia;A Coruña;2023;15,319
Galicia;A Coruña;2022;14,294
Galicia;A Coruña;2021;13,319
Galicia;A Coruña;2020;12,841
Galicia;A Coruña;2019;12,764
Galicia;A Coruña;2018;12,207
Galicia;A Coruña;2017;11,706
Galicia;A Coruña;2016;11,383
Galicia;A Coruña;2015;11,024
Galicia;Lugo;2023;14,316
Galicia;Lugo;2022;13,362
Galicia;Lugo;2021;12,560
Galicia;Lugo;2020;12,021
Galicia;Lugo;2019;11,856
Galicia;Lugo;2018;11,335
Galicia;Lugo;2017;10,878
Galicia;Lugo;2016;10,541
Galicia;Lugo;2015;10,283
Galicia;Ourense;2023;14,049
Galicia;Ourense;2022;13,043
Galicia;Ourense;2021;12,365
Galicia;Ourense;2020;11,937
Galicia;Ourense;2019;11,729
Galicia;Ourense;2018;11,230
Galicia;Ourense;2017;10,729
Galicia;Ourense;2016;10,415
