ccaa;provincia;anio;renta_neta_anual;is_projection;renta_mensual_neta
CastillaLeon;Ávila;2023;13602;False;1133.5
CastillaLeon;Ávila;2024;14353.7952;True;1196.1496
CastillaLeon;Ávila;2025;15147.1429;True;1262.2619
Cataluña;Barcelona;2015;12853;False;1071.0833
Cataluña;Barcelona;2016;13256;False;1104.6667
Cataluña;Barcelona;2017;13622;False;1135.1667
Cataluña;Barcelona;2018;14198;False;1183.1667
Cataluña;Barcelona;2019;14656;False;1221.3333
Cataluña;Barcelona;2020;14676;False;1223
Cataluña;Barcelona;2021;15297;False;1274.75
Cataluña;Barcelona;2022;16105;False;1342.0833
Cataluña;Barcelona;2023;17062;False;1421.8333
Cataluña;Barcelona;2024;17941.0191;True;1495.0849
Cataluña;Barcelona;2025;18865.3245;True;1572.1104
Cataluña;Girona;2015;11095;False;924.5833
Cataluña;Girona;2016;11409;False;950.75
Cataluña;Girona;2017;11841;False;986.75
Cataluña;Girona;2018;12355;False;1029.5833
Cataluña;Girona;2019;12843;False;1070.25
Cataluña;Girona;2020;12865;False;1072.0833
Cataluña;Girona;2021;13485;False;1123.75
Cataluña;Girona;2022;14176;False;1181.3333
Cataluña;Girona;2023;15130;False;1260.8333
Cataluña;Girona;2024;15970.8837;True;1330.907
Cataluña;Girona;2025;16858.5014;True;1404.8751
Cataluña;Lleida;2015;10914;False;909.5
Cataluña;Lleida;2016;11208;False;934
Cataluña;Lleida;2017;11624;False;968.6667
Cataluña;Lleida;2018;12124;False;1010.3333
Cataluña;Lleida;2019;12618;False;1051.5
Cataluña;Lleida;2020;12896;False;1074.6667
Cataluña;Lleida;2021;13334;False;1111.1667
Cataluña;Lleida;2022;13865;False;1155.4167
Cataluña;Lleida;2023;14713;False;1226.0833
Cataluña;Lleida;2024;15374.8311;True;1281.2359
Cataluña;Lleida;2025;16066.4331;True;1338.8694
Cataluña;Tarragona;2015;10817;False;901.4167
Cataluña;Tarragona;2016;11119;False;926.5833
Cataluña;Tarragona;2017;11506;False;958.8333
Cataluña;Tarragona;2018;12011;False;1000.9167
Cataluña;Tarragona;2019;12432;False;1036
Cataluña;Tarragona;2020;12491;False;1040.9167
Cataluña;Tarragona;2021;13086;False;1090.5
Cataluña;Tarragona;2022;13673;False;1139.4167
Cataluña;Tarragona;2023;14559;False;1213.25
Cataluña;Tarragona;2024;15322.3315;True;1276.861
Cataluña;Tarragona;2025;16125.6845;True;1343.807
Ceuta;Ceuta;2015;10696;False;891.3333
Ceuta;Ceuta;2016;10696;False;891.3333
Ceuta;Ceuta;2017;10767;False;897.25
Ceuta;Ceuta;2018;11448;False;954
Ceuta;Ceuta;2019;12038;False;1003.1667
Ceuta;Ceuta;2020;12358;False;1029.8333
Ceuta;Ceuta;2021;13030;False;1085.8333
Ceuta;Ceuta;2022;13673;False;1139.4167
Ceuta;Ceuta;2023;14625;False;1218.75
Ceuta;Ceuta;2024;15470.0893;True;1289.1741
Ceuta;Ceuta;2025;16364.0112;True;1363.6676
Navarra;Navarra;2020;14227;False;1185.5833
Navarra;Navarra;2021;14718;False;1226.5
Navarra;Navarra;2022;15681;False;1306.75
Navarra;Navarra;2023;16423;False;1368.5833
Navarra;Navarra;2024;17229.1522;True;1435.7627
Navarra;Navarra;2025;18074.8758;True;1506.2396
ComunidadDeMadrid;Madrid;2015;13779;False;1148.25
ComunidadDeMadrid;Madrid;2016;14104;False;1175.3333
ComunidadDeMadrid;Madrid;2017;14461;False;1205.0833
ComunidadDeMadrid;Madrid;2018;15153;False;1262.75
ComunidadDeMadrid;Madrid;2019;15520;False;1293.3333
ComunidadDeMadrid;Madrid;2020;15579;False;1298.25
ComunidadDeMadrid;Madrid;2021;16146;False;1345.5
ComunidadDeMadrid;Madrid;2022;17131;False;1427.5833
ComunidadDeMadrid;Madrid;2023;18142;False;1511.8333
ComunidadDeMadrid;Madrid;2024;19087.9045;True;1590.6587
ComunidadDeMadrid;Madrid;2025;20083.1274;True;1673.5939
ComunidadValenciana;Alicante;2015;8695;False;724.5833
ComunidadValenciana;Alicante;2016;8814;False;734.5
ComunidadValenciana;Alicante;2017;9313;False;776.0833
ComunidadValenciana;Alicante;2018;9736;False;811.3333
ComunidadValenciana;Alicante;2019;10177;False;848.0833
ComunidadValenciana;Alicante;2020;10236;False;853
ComunidadValenciana;Alicante;2021;10770;False;897.5
ComunidadValenciana;Alicante;2022;11378;False;948.1667
ComunidadValenciana;Alicante;2023;12313;False;1026.0833
ComunidadValenciana;Alicante;2024;13096.0988;True;1091.3416
ComunidadValenciana;Alicante;2025;13929.0022;True;1160.7502
ComunidadValenciana;Castellón;2015;10136;False;844.6667
ComunidadValenciana;Castellón;2016;10504;False;875.3333
ComunidadValenciana;Castellón;2017;10958;False;913.1667
ComunidadValenciana;Castellón;2018;11461;False;955.0833
ComunidadValenciana;Castellón;2019;11987;False;998.9167
ComunidadValenciana;Castellón;2020;12079;False;1006.5833
ComunidadValenciana;Castellón;2021;12680;False;1056.6667
ComunidadValenciana;Castellón;2022;13305;False;1108.75
ComunidadValenciana;Castellón;2023;14029;False;1169.0833
ComunidadValenciana;Castellón;2024;14746.6377;True;1228.8865
ComunidadValenciana;Castellón;2025;15500.9854;True;1291.7488
ComunidadValenciana;Valencia;2015;10377;False;864.75
ComunidadValenciana;Valencia;2016;10641;False;886.75
ComunidadValenciana;Valencia;2017;11041;False;920.0833
ComunidadValenciana;Valencia;2018;11634;False;969.5
ComunidadValenciana;Valencia;2019;12145;False;1012.0833
ComunidadValenciana;Valencia;2020;12333;False;1027.75
ComunidadValenciana;Valencia;2021;12823;False;1068.5833
ComunidadValenciana;Valencia;2022;13548;False;1129
ComunidadValenciana;Valencia;2023;14435;False;1202.9167
ComunidadValenciana;Valencia;2024;15213.2426;True;1267.7702
ComunidadValenciana;Valencia;2025;16033.443;True;1336.1203
Extremadura;Badajoz;2015;8448;False;704
Extremadura;Badajoz;2016;8643;False;720.25
Extremadura;Badajoz;2017;8971;False;747.5833
